post_original,pre_original,player_name,player_id,target_file,image_field,status
_#image1054.png,Matthew-LE-TISSIER-120.png,Matt Le Tissier,4528,L-2004717.png,\images\faces\L-2004717.png,matched(score=0.91)
_#image1066.png,MAURO-SILVA-120.png,Mauro Silva,4595,L-3260.png,\images\faces\L-3260.png,matched(score=1.00)
_#image1078.png,Mauro-TASSOTTI-120.png,Mauro Tassotti,4571,L-68.png,\images\faces\L-68.png,matched(score=1.00)
_#image1090.png,Michel-PREUDHOMME-120.png,M. Preud'homme,4558,L-1346.png,\images\faces\L-1346.png,matched(score=0.80)
_#image1102.png,Nery-PUMPIDO-120.png,Nery Pumpido,1427,L-6300227.png,\images\faces\L-6300227.png,matched(score=1.00)
_#image1114.png,Oleh-BLOKHIN-120.png,Oleg Blokhin,4456,L-675102.png,\images\faces\L-675102.png,matched(score=0.92)
_#image1126.png,Osvaldo-ARDILES-120.png,Osvaldo Ardiles,1445,L-3900688.png,\images\faces\L-3900688.png,matched(score=1.00)
_#image1138.png,Paolo-ROSSI-120.png,Paolo Rossi,1390,L-7581234.png,/images/faces/L-7581234.png,matched(score=1.00)
_#image1150.png,Pat-JENNINGS-120.png,Pat Jennings,4542,L-4000311.png,\images\faces\L-4000311.png,matched(score=1.00)
_#image1162.png,Patrick-MBOMA-120.png,Patrick M'Boma,4496,L-11103.png,\images\faces\L-11103.png,matched(score=0.96)
_#image1174.png,Patrik-ANDERSSON-120.png,K. Andersson,4512,L-1394715073.png,\images\faces\L-1394715073.png,matched(score=0.81)
_#image1186.png,Paul-BREITNER-120.png,Paul Breitner,1364,L-3600315.png,\images\faces\L-3600315.png,matched(score=1.00)
_#image1198.png,Paul-INCE_120.png,Paul Ince,1327,L-2004544.png,\images\faces\L-2004544.png,matched(score=1.00)
_#image1210.png,Peter-SHILTON-120.png,Peter Shilton,1323,L-23149589.png,/images/faces/L-23149589.png,matched(score=1.00)
_#image1222.png,Pierre-LITTBARSKI-120.png,P. Littbarski,1377,L-3604215.png,\images\faces\L-3604215.png,matched(score=0.83)
_#image1234.png,Pietro-VIERCHOWOD-120.png,P. Vierchowod,1394,L-9730.png,\images\faces\L-9730.png,matched(score=0.83)
_#image1246.png,Predrag-Mijatovic_120.png,P. Mijatovic,4509,L-11948.png,\images\faces\L-11948.png,matched(score=0.79)
_#image1258.png,Rainer-BONHOF-120.png,Rainer Bonhof,1362,L-3604809.png,\images\faces\L-3604809.png,matched(score=1.00)
_#image1270.png,Ray-WILSON-120-1.png,Ray Wilson,1316,L-343890504.png,/images/faces/L-343890504.png,matched(score=1.00)
_#image1282.png,Rene-HIGUITA-120.png,René Higuita,4516,L-2001903.png,\images\faces\L-2001903.png,matched(score=1.00)
_#image1294.png,Ricardo-GIUSTI-120.png,Ricardo Giusti,1432,L-543759032.png,/images/faces/L-543759032.png,matched(score=1.00)
_#image1306.png,RIVELINO-120.png,R. Rivelino,1457,L-6785904.png,/images/faces/L-6785904.png,matched(score=0.89)
_#image1318.png,Roberto-DONADONI-120.png,R. Donadoni,1401,L-3801541.png,\images\faces\L-3801541.png,matched(score=0.77)
_#image1330.png,Ronald-KOEMAN-120.png,Ronald Koeman,1416,L-4200590.png,\images\faces\L-4200590.png,matched(score=1.00)
_#image1342.png,Rudi-VOLLER-120.png,Rudi Völler,1379,L-5156.png,\images\faces\L-5156.png,matched(score=1.00)
_#image1354.png,Sandor-KOCSIS-120.png,Sándor Kocsis,4468,L-43584902.png,/images/faces/L-43584902.png,matched(score=1.00)
_#image1366.png,Sepp-MAIER-120.png,Sepp Maier,1358,L-3600227.png,\images\faces\L-3600227.png,matched(score=1.00)
_#image1378.png,Sergio-Batista-120.png,Sergio Batista,1431,L-3102313.png,\images\faces\L-3102313.png,matched(score=1.00)
_#image1390.png,Stanley-MATTHEWS-120.png,S. Matthews,4556,L-65840322.png,/images/faces/L-65840322.png,matched(score=0.77)
_#image1391.png,T. Begiristain-120.png,T. Begiristain,4546,L-7449788.png,\images\faces\L-7449788.png,matched(score=1.00)
_#image1402.png,Thomas-Ravelli-120.png,Thomas Ravelli,4488,L-4400591.png,\images\faces\L-4400591.png,matched(score=1.00)
_#image1414.png,Toninho-CEREZO-120.png,Toninho Cerezo,1465,L-6900174.png,\images\faces\L-6900174.png,matched(score=1.00)
_#image1426.png,Tony-ADAMS_120.png,Tony Adams,1325,L-2003258.png,\images\faces\L-2003258.png,matched(score=1.00)
_#image1438.png,Tony-YEBOAH-120.png,Tony Yeboah,4489,L-103339.png,\images\faces\L-103339.png,matched(score=1.00)
_#image1450.png,TOSTAO-120.png,Tostao,1460,L-6584902394.png,/images/faces/L-6584902394.png,matched(score=1.00)
_#image1462.png,Ubaldo-FILLOL-120.png,Ubaldo Fillol,1438,L-956029.png,\images\faces\L-956029.png,matched(score=1.00)
_#image1474.png,Walter-ZENGA-120.png,Walter Zenga,1392,L-1200111.png,\images\faces\L-1200111.png,matched(score=1.00)
_#image1486.png,Willem-VAN-HANEGEM-120.png,W. van Hanegem,1409,L-601386.png,\images\faces\L-601386.png,matched(score=0.84)
_#image1498.png,Wilson-PIAZZA-120.png,Piazza,1451,L-5674902.png,/images/faces/L-5674902.png,matched(score=1.00)
_#image1510.png,Wim-RIJSBERGEN-120.png,Wim Rijsbergen,1405,L-601428.png,\images\faces\L-601428.png,matched(score=1.00)
_#image1522.png,Wolfgang-OVERATH-120.png,W. Overath,1365,L-3604904.png,\images\faces\L-3604904.png,matched(score=0.72)
_#image1534.png,Zibi-BONIEK-120.png,Zbigniew Boniek,4553,L-7988255.png,\images\faces\L-7988255.png,matched(score=0.77)
_#image1546.png,Zvonimir-BOBAN-120.png,Zvonimir Boban,4478,L-57.png,\images\faces\L-57.png,matched(score=1.00)
